Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2013/11/22, 07:05:36, -52.482357, 169.209839, 149.85,  288.00, 112, -2, 0.00, 1
2013/11/22, 07:11:38, -52.482338, 169.209885, 153.39,  0.00, 109, 0, 3.76, 
2013/11/22, 07:17:40, -52.482388, 169.209763, 150.10,  0.00, 299, 0, 9.96, 
2013/11/22, 07:24:03, -52.482277, 169.209854, 153.89,  0.00, 47, 0, 13.80, 
2013/11/22, 07:30:16, -52.482288, 169.209824, 156.28,  0.00, 53, 0, 2.37, 
2013/11/22, 07:36:20, -52.482384, 169.209808, 161.79,  0.00, 36, 0, 10.73, 
2013/11/22, 07:42:23, -52.482311, 169.209930, 158.13,  0.00, 104, 0, 11.58, 
2013/11/22, 07:48:26, -52.482380, 169.209442, 147.72,  1836.00, 87, 0, 33.93, 
2013/11/22, 07:55:13, -52.482361, 169.209793, 128.73,  3204.00, 16, 0, 23.86, 
2013/11/22, 08:04:22, -52.481915, 169.209442, 160.15,  4104.00, 319, 0, 54.99, 1
2013/11/22, 08:15:13, -52.477264, 169.216873, 101.00,  4860.00, 77, 0, 721.61, 1
2013/11/22, 08:21:18, -52.475605, 169.222672, 91.86,  4356.00, 75, 0, 433.92, 
2013/11/22, 08:27:23, -52.475273, 169.224594, 73.92,  468.00, 82, 0, 135.31, 1
2013/11/22, 08:33:27, -52.475407, 169.224503, 126.49,  252.00, 146, 0, 16.12, 
2013/11/22, 08:39:30, -52.475273, 169.224594, 79.40,  216.00, 151, 0, 16.12, 
2013/11/22, 08:45:33, -52.475349, 169.224609, 86.17,  108.00, 109, 0, 8.51, 
2013/11/22, 08:51:32, -52.475285, 169.224609, 77.42,  0.00, 304, 0, 7.12, 
2013/11/22, 08:57:34, -52.475262, 169.224609, 78.41,  0.00, 356, 0, 2.56, 
2013/11/22, 09:03:41, -52.475296, 169.224594, 77.88,  0.00, 334, 0, 3.91, 
2013/11/22, 09:09:45, -52.475273, 169.224625, 79.50,  0.00, 195, 0, 3.31, 
2013/11/22, 09:15:46, -52.475410, 169.224579, 78.80,  0.00, 191, 0, 15.55, 
2013/11/22, 09:22:22, -52.475342, 169.224594, 80.23,  252.00, 28, 0, 7.63, 
2013/11/22, 09:28:23, -52.475327, 169.224609, 81.07,  144.00, 28, 0, 1.95, 
2013/11/22, 09:34:21, -52.475372, 169.224609, 76.75,  180.00, 37, 0, 5.00, 
2013/11/22, 09:40:20, -52.475357, 169.224594, 79.08,  216.00, 40, 0, 1.95, 
2013/11/22, 09:46:17, -52.475304, 169.224579, 78.12,  432.00, 21, 0, 5.98, 
2013/11/22, 09:52:15, -52.475319, 169.224594, 77.19,  0.00, 60, 0, 1.95, 
2013/11/22, 09:58:14, -52.475334, 169.224594, 78.46,  180.00, 183, 0, 1.67, 
2013/11/22, 10:04:17, -52.475311, 169.224594, 73.37,  288.00, 1, 0, 2.56, 
2013/11/22, 10:10:15, -52.475338, 169.224579, 84.93,  288.00, 194, 0, 3.17, 
2013/11/22, 10:16:13, -52.475300, 169.224609, 78.76,  252.00, 40, 0, 4.69, 
2013/11/22, 10:22:11, -52.475304, 169.224579, 77.45,  180.00, 75, 0, 2.08, 
2013/11/22, 10:28:11, -52.475281, 169.224609, 71.18,  0.00, 36, 0, 3.27, 
2013/11/22, 10:34:09, -52.475296, 169.224609, 52.07,  144.00, 76, 0, 1.67, 
2013/11/22, 10:40:06, -52.475281, 169.224640, 77.81,  252.00, 35, 0, 2.68, 
2013/11/22, 10:46:01, -52.475319, 169.224609, 95.94,  612.00, 323, 0, 4.72, 
2013/11/22, 10:51:58, -52.475334, 169.224548, 40.97,  0.00, 17, 0, 4.46, 
2013/11/22, 10:57:54, -52.475304, 169.224609, 72.17,  324.00, 24, 0, 5.31, 
2013/11/22, 11:03:55, -52.475414, 169.224396, 18.74,  0.00, 8, 0, 18.91, 
2013/11/22, 11:09:51, -52.475609, 169.224091, -46.39,  0.00, 19, 0, 29.95, 
2013/11/22, 11:15:46, -52.475639, 169.223999, -47.87,  0.00, 50, 0, 7.07, 
2013/11/22, 11:21:42, -52.475620, 169.224121, 0.45,  0.00, 22, 0, 8.53, 
2013/11/22, 11:27:37, -52.475311, 169.224594, 71.51,  0.00, 37, 0, 46.98, 
2013/11/22, 11:33:32, -52.475342, 169.224548, 72.13,  0.00, 20, 0, 4.65, 
2013/11/22, 11:39:27, -52.475853, 169.223831, 0.01,  0.00, 39, 0, 74.74, 
2013/11/22, 11:45:26, -52.475159, 169.224762, 92.08,  0.00, 222, 0, 99.65, 
2013/11/22, 11:51:31, -52.475166, 169.224777, 91.64,  0.00, 36, 0, 1.28, 
2013/11/22, 11:58:04, -52.475311, 169.224594, 80.38,  36.00, 117, 0, 20.34, 
2013/11/22, 12:03:48, -52.475311, 169.224564, 77.30,  324.00, 169, 0, 2.03, 
2013/11/22, 12:09:44, -52.475334, 169.224564, 78.08,  216.00, 312, 0, 2.56, 
2013/11/22, 12:15:39, -52.475376, 169.224625, 82.07,  864.00, 154, 0, 6.24, 
2013/11/22, 12:21:34, -52.475471, 169.224686, 71.75,  12024.00, 318, 0, 11.34, 
2013/11/22, 12:27:30, -52.475063, 169.224533, 76.81,  900.00, 329, 0, 46.54, 
2013/11/22, 12:33:31, -52.475307, 169.224625, 73.48,  648.00, 345, 0, 27.84, 
2013/11/22, 12:39:36, -52.475216, 169.224564, 78.04,  0.00, 158, 0, 10.93, 
2013/11/22, 12:45:43, -52.475243, 169.224625, 91.81,  0.00, 335, 0, 5.11, 
2013/11/22, 12:51:49, -52.475159, 169.224533, 74.34,  108.00, 106, 0, 11.23, 
2013/11/22, 12:57:56, -52.475399, 169.224350, 18.34,  720.00, 337, 0, 29.42, 
2013/11/22, 13:03:50, -52.475201, 169.224579, 86.47,  108.00, 70, 0, 26.93, 
2013/11/22, 13:09:34, -52.475216, 169.224625, 86.80,  144.00, 58, 0, 3.53, 
2013/11/22, 13:15:21, -52.474922, 169.224380, 30.29,  144.00, 124, 0, 36.66, 
2013/11/22, 13:21:09, -52.475193, 169.224579, 53.35,  360.00, 19, 0, 33.01, 
2013/11/22, 13:26:59, -52.475151, 169.224701, 119.35,  0.00, 143, 0, 9.49, 
2013/11/22, 13:32:45, -52.475189, 169.224625, 83.68,  72.00, 204, 0, 6.66, 
2013/11/22, 13:38:31, -52.475208, 169.224609, 79.71,  360.00, 278, 0, 2.37, 
2013/11/22, 13:44:18, -52.475235, 169.224640, 91.84,  180.00, 82, 0, 3.66, 
2013/11/22, 13:50:04, -52.475285, 169.224655, 94.07,  108.00, 12, 0, 5.65, 
2013/11/22, 13:55:51, -52.475357, 169.224762, 73.06,  792.00, 33, 0, 10.80, 
2013/11/22, 14:02:07, -52.475307, 169.225037, 74.38,  36.00, 224, 0, 19.44, 
2013/11/22, 14:07:51, -52.479340, 169.245895, 24.93,  1224.00, 306, 0, 1482.10, 
2013/11/22, 14:13:26, -52.479713, 169.247314, 17.64,  2376.00, 103, 0, 104.67, 1
2013/11/22, 14:18:58, -52.480259, 169.248444, 6.62,  0.00, 0, 0, 97.68, 
2013/11/22, 14:24:29, -52.480682, 169.255890, 12.79,  2304.00, 47, 0, 506.44, 1
2013/11/22, 14:29:56, -52.477119, 169.282776, 16.67,  1836.00, 212, 0, 1863.42, 1
2013/11/22, 14:35:23, -52.472893, 169.308441, 12.61,  85032.00, 79, 0, 1800.68, 1
2013/11/22, 14:40:50, -52.456837, 169.360504, 10.16,  52056.00, 20, 0, 3953.14, 1
2013/11/22, 14:46:20, -52.432102, 169.428589, 10.03,  75348.00, 35, 0, 5372.06, 1
2013/11/22, 14:51:49, -52.400826, 169.496262, 6.13,  1584.00, 186, 0, 5758.36, 1
2013/11/22, 14:57:17, -52.386539, 169.517746, 24.44,  49464.00, 34, 0, 2156.14, 1
2013/11/22, 15:03:15, -52.347080, 169.563324, 18.37,  37080.00, 27, 0, 5369.15, 1
2013/11/22, 15:09:35, -52.303913, 169.603836, 11.55,  33984.00, 14, 0, 5533.49, 1
2013/11/22, 15:15:55, -52.260567, 169.640686, 11.73,  91476.00, 52, 0, 5432.76, 1
2013/11/22, 15:22:15, -52.215302, 169.677658, 9.23,  31824.00, 302, 0, 5627.76, 1
2013/11/22, 15:28:35, -52.182541, 169.681793, 8.96,  16344.00, 336, 0, 3653.74, 1
2013/11/22, 15:34:56, -52.144947, 169.698181, 10.79,  39564.00, 3, 0, 4327.13, 1
2013/11/22, 15:41:17, -52.109917, 169.723495, 7.07,  45396.00, 5, 0, 4261.26, 1
2013/11/22, 15:47:38, -52.067635, 169.750336, 12.03,  88884.00, 44, 0, 5046.53, 1
2013/11/22, 15:53:58, -52.032936, 169.763763, 4.58,  7020.00, 28, 0, 3966.09, 1
2013/11/22, 16:00:20, -52.017826, 169.774994, 12.22,  83988.00, 49, 0, 1847.54, 1
2013/11/22, 16:06:41, -51.978111, 169.793015, 32.07,  42768.00, 353, 0, 4585.21, 
2013/11/22, 16:13:03, -51.935112, 169.812912, 11.44,  62352.00, 12, 0, 4971.87, 1
2013/11/22, 16:19:25, -51.890961, 169.832275, 16.15,  47448.00, 355, 0, 5085.85, 
2013/11/22, 16:25:46, -51.847591, 169.850708, 15.02,  26100.00, 233, 0, 4985.82, 1
2013/11/22, 16:32:08, -51.806015, 169.861465, 43.66,  44964.00, 343, 0, 4681.77, 1
2013/11/22, 16:38:31, -51.762840, 169.871826, 13.34,  64404.00, 22, 0, 4853.46, 1
