Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2013/10/28, 07:37:05, -52.482208, 169.209808, 146.58,  0.00, 2, -2, 0.00, 1
2013/10/28, 07:42:21, -52.482128, 169.209717, 146.55,  0.00, 20, 0, 10.82, 1
2013/10/28, 07:57:53, -52.482231, 169.209946, 149.40,  288.00, 223, 0, 19.28, 1
2013/10/28, 08:15:46, -52.480888, 169.210464, 115.88,  0.00, 191, 0, 153.40, 1
2013/10/28, 08:32:25, -52.475700, 169.221954, 90.96,  4608.00, 357, 0, 968.67, 1
2013/10/28, 08:46:35, -52.475266, 169.224579, 71.79,  0.00, 24, 0, 184.22, 1
2013/10/28, 09:01:10, -52.475281, 169.224777, 77.31,  1008.00, 166, 0, 13.51, 1
2013/10/28, 09:05:27, -52.475292, 169.224884, 91.47,  0.00, 114, 0, 7.35, 1
2013/10/28, 09:09:46, -52.475212, 169.224152, 56.07,  0.00, 229, 0, 50.37, 1
2013/10/28, 09:14:07, -52.475334, 169.224976, 94.49,  0.00, 94, 0, 57.43, 1
2013/10/28, 09:18:28, -52.475166, 169.224060, 54.94,  0.00, 324, 0, 64.79, 1
2013/10/28, 09:23:22, -52.475281, 169.224609, 72.06,  0.00, 11, 0, 39.32, 1
2013/10/28, 09:29:25, -52.475319, 169.224609, 67.92,  0.00, 350, 0, 4.23, 1
2013/10/28, 09:33:41, -52.475277, 169.224609, 72.91,  0.00, 142, 0, 4.67, 1
2013/10/28, 09:37:57, -52.475281, 169.224640, 69.63,  0.00, 146, 0, 2.15, 1
2013/10/28, 09:42:12, -52.475327, 169.224594, 61.37,  0.00, 257, 0, 5.99, 1
2013/10/28, 09:46:32, -52.475113, 169.224335, 86.92,  4176.00, 356, 0, 29.56, 1
2013/10/28, 09:51:05, -52.474380, 169.226028, 70.26,  0.00, 342, 0, 140.68, 1
2013/10/28, 09:55:19, -52.474377, 169.226044, 60.55,  1548.00, 160, 0, 1.13, 1
2013/10/28, 09:59:48, -52.474380, 169.226105, 74.26,  0.00, 51, 0, 4.15, 1
2013/10/28, 10:05:05, -52.474388, 169.226013, 66.73,  0.00, 151, 0, 6.29, 1
2013/10/28, 10:10:15, -52.474403, 169.226044, 68.04,  2052.00, 191, 0, 2.68, 1
2013/10/28, 10:15:32, -52.474388, 169.226089, 68.29,  0.00, 30, 0, 3.47, 1
2013/10/28, 10:21:03, -52.474411, 169.226089, 67.12,  540.00, 348, 0, 2.56, 1
2013/10/28, 10:27:57, -52.474277, 169.226166, 53.82,  0.00, 191, 0, 15.79, 1
2013/10/28, 10:33:01, -52.474579, 169.226013, 86.46,  1116.00, 203, 0, 35.14, 1
2013/10/28, 10:38:04, -52.474457, 169.226089, 79.67,  0.00, 23, 0, 14.51, 1
2013/10/28, 10:43:09, -52.474350, 169.226105, 58.50,  792.00, 194, 0, 11.95, 1
2013/10/28, 10:48:12, -52.474705, 169.224976, 71.56,  4464.00, 186, 0, 86.06, 1
2013/10/28, 10:53:14, -52.475449, 169.224472, 77.08,  0.00, 59, 0, 89.49, 1
2013/10/28, 10:58:20, -52.475506, 169.224503, 82.26,  0.00, 221, 0, 6.68, 1
2013/10/28, 11:03:30, -52.475357, 169.224655, 84.18,  1512.00, 349, 0, 19.51, 1
2013/10/28, 11:08:33, -52.475342, 169.224579, 69.91,  2376.00, 190, 0, 5.41, 1
2013/10/28, 11:13:37, -52.475536, 169.224503, 70.35,  1008.00, 28, 0, 22.18, 1
2013/10/28, 11:18:47, -52.475437, 169.224579, 70.92,  0.00, 81, 0, 12.15, 1
2013/10/28, 11:24:23, -52.475357, 169.224594, 73.92,  144.00, 125, 0, 8.95, 1
2013/10/28, 11:30:21, -52.475365, 169.224640, 85.78,  900.00, 351, 0, 3.24, 1
2013/10/28, 11:35:23, -52.475346, 169.224625, 70.92,  1116.00, 175, 0, 2.34, 1
2013/10/28, 11:40:26, -52.475281, 169.224625, 68.30,  2808.00, 251, 0, 7.23, 1
2013/10/28, 11:45:31, -52.475296, 169.224640, 77.77,  0.00, 358, 0, 1.95, 1
2013/10/28, 11:50:33, -52.475384, 169.224625, 71.71,  1980.00, 191, 0, 9.84, 1
2013/10/28, 11:55:37, -52.475327, 169.224579, 60.17,  252.00, 52, 0, 7.06, 1
2013/10/28, 12:00:44, -52.475254, 169.224625, 57.20,  828.00, 272, 0, 8.69, 1
2013/10/28, 12:05:48, -52.475319, 169.224594, 74.24,  396.00, 215, 0, 7.53, 1
2013/10/28, 12:10:51, -52.475323, 169.224655, 88.61,  0.00, 213, 0, 4.16, 1
2013/10/28, 12:16:03, -52.475231, 169.224686, 74.44,  648.00, 5, 0, 10.44, 1
2013/10/28, 12:21:08, -52.475349, 169.224564, 53.08,  5328.00, 19, 0, 15.51, 1
2013/10/28, 12:26:14, -52.475243, 169.224670, 72.23,  0.00, 201, 0, 13.80, 1
2013/10/28, 12:31:20, -52.475342, 169.224594, 59.64,  0.00, 302, 0, 12.15, 1
2013/10/28, 12:36:45, -52.475376, 169.224579, 75.07,  144.00, 30, 0, 3.91, 1
2013/10/28, 12:42:11, -52.475319, 169.224594, 75.23,  0.00, 335, 0, 6.42, 1
2013/10/28, 12:49:33, -52.475304, 169.224609, 70.19,  144.00, 36, 0, 1.95, 1
2013/10/28, 12:58:54, -52.475319, 169.224609, 75.31,  0.00, 224, 0, 1.67, 1
2013/10/28, 13:04:01, -52.475334, 169.224609, 74.75,  1008.00, 48, 0, 1.67, 1
2013/10/28, 13:09:08, -52.475307, 169.224518, 64.99,  0.00, 202, 0, 6.86, 1
